commit_sha,commit_short,date,message,change_type,source_path,destination_path
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/footer-legal-block.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/footer-legal-block.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/hero-seam.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/hero-seam.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/map-button.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/map-button.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/team-block.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/team-block.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/artifacts/baseline/special-zones/video-block.png","archive/reference/accepted_ui_baseline_pack/artifacts/baseline/special-zones/video-block.png"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/baseline-policy.md","archive/reference/accepted_ui_baseline_pack/baseline-policy.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"accepted_ui_baseline_pack/report.md","archive/reference/accepted_ui_baseline_pack/report.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/checklist.md","archive/reference/ai/checklist.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/report.md","archive/reference/ai/report.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/tasks/task-1.md","archive/reference/ai/tasks/task-1.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/tasks/task-2.md","archive/reference/ai/tasks/task-2.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/tasks/task-3.md","archive/reference/ai/tasks/task-3.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"ai/tasks/task-4.md","archive/reference/ai/tasks/task-4.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/README.md","archive/reference/aidacamp_icon_pack/README.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/arrow-left.svg","archive/reference/aidacamp_icon_pack/assets/icons/arrow-left.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/arrow-right-sm.svg","archive/reference/aidacamp_icon_pack/assets/icons/arrow-right-sm.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/arrow-right.svg","archive/reference/aidacamp_icon_pack/assets/icons/arrow-right.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/check.svg","archive/reference/aidacamp_icon_pack/assets/icons/check.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/chevron-left.svg","archive/reference/aidacamp_icon_pack/assets/icons/chevron-left.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/chevron-right.svg","archive/reference/aidacamp_icon_pack/assets/icons/chevron-right.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/clipboard.svg","archive/reference/aidacamp_icon_pack/assets/icons/clipboard.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/close.svg","archive/reference/aidacamp_icon_pack/assets/icons/close.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/fire-hit.svg","archive/reference/aidacamp_icon_pack/assets/icons/fire-hit.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/food.svg","archive/reference/aidacamp_icon_pack/assets/icons/food.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/lock.svg","archive/reference/aidacamp_icon_pack/assets/icons/lock.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/med.svg","archive/reference/aidacamp_icon_pack/assets/icons/med.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/money.svg","archive/reference/aidacamp_icon_pack/assets/icons/money.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/play.svg","archive/reference/aidacamp_icon_pack/assets/icons/play.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/pool.svg","archive/reference/aidacamp_icon_pack/assets/icons/pool.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/refresh.svg","archive/reference/aidacamp_icon_pack/assets/icons/refresh.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/robot.svg","archive/reference/aidacamp_icon_pack/assets/icons/robot.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/search.svg","archive/reference/aidacamp_icon_pack/assets/icons/search.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/assets/icons/sparkle.svg","archive/reference/aidacamp_icon_pack/assets/icons/sparkle.svg"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/docs/codex_replacement_map.md","archive/reference/aidacamp_icon_pack/docs/codex_replacement_map.md"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/docs/codex_task.txt","archive/reference/aidacamp_icon_pack/docs/codex_task.txt"
87d7ef8ad1aaf381c933efc1ba4e4845fe4791ab,87d7ef8,2026-03-25T11:17:33+03:00,"chore: move non-runtime reference packs from root to archive/reference",R100,"aidacamp_icon_pack/docs/icon-system.css","archive/reference/aidacamp_icon_pack/docs/icon-system.css"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/booking-hint-desktop.png","archive/non-runtime/root_cleanup_2026-03-25/audit/booking-hint-desktop.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-after-closer-desktop-full.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-after-closer-desktop-full.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-after-patch48-desktop-full.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-after-patch48-desktop-full.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-after-soft-overlap-desktop.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-after-soft-overlap-desktop.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-before-patch48-desktop-full.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-before-patch48-desktop-full.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-before-patch48-desktop.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-before-patch48-desktop.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/hero-booking-layer-fix-desktop.png","archive/non-runtime/root_cleanup_2026-03-25/audit/hero-booking-layer-fix-desktop.png"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/aidacamp-home.html","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/aidacamp-home.html"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0001_tilda-fallback-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0001_tilda-fallback-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0002_tilda-polyfill-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0002_tilda-polyfill-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0003_tilda-scripts-3.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0003_tilda-scripts-3.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0004_tilda-blocks-page43860775.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0004_tilda-blocks-page43860775.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0005_tilda-lazyload-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0005_tilda-lazyload-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0006_tilda-animation-2.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0006_tilda-animation-2.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0007_tilda-menu-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0007_tilda-menu-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0008_tilda-cover-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0008_tilda-cover-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0009_tilda-cards-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0009_tilda-cards-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0010_tilda-slds-1.4.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0010_tilda-slds-1.4.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0011_tilda-paint-icons.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0011_tilda-paint-icons.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0012_tilda-forms-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0012_tilda-forms-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0013_tilda-zoom-2.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0013_tilda-zoom-2.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0014_tilda-skiplink-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0014_tilda-skiplink-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0015_tilda-events-1.0.min.js.bin","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0015_tilda-events-1.0.min.js.bin"
355ef94378aa7140ac6b411dac37135595d76330,355ef94,2026-03-25T10:40:01+03:00,"chore: archive non-runtime root artifacts and document cleanup map",R100,"audit/old-site-2026-03-23/assets_export/all_images/img_0016_aida-camp_logo-v2.jpg","archive/non-runtime/root_cleanup_2026-03-25/audit/old-site-2026-03-23/assets_export/all_images/img_0016_aida-camp_logo-v2.jpg"
